vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
行銷專員,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.09.22,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,0,"學習很多產業知識
學...","可以學到很多東西
制..."
堆高機員,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.09.01,全職,桃園,,,,,,,還算愉快,常常加班,8 hr,1,0,用勞力去換薪水得工作...,福利好，薪水高，有年...
暑期實習生,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.08.31,全職,桃園,,,,,,,非常開心,準時上下班,8 hr,1,0,"有完善福利，HR,訓...",歡迎對汽車業有興趣的...
工程師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.07.24,全職,桃園,,,,,,,平常心,準時上下班,8 hr,3,0,主要管理車輛生產品質...,喜歡車子非常推薦，每...
物流師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.06.30,全職,桃園,,,,,,,平常心,準時上下班,8 hr,3,0,重視團隊合作 有國際...,改善系統流程 部門本...
實習生,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.06.30,全職,桃園,,,,,,,還算愉快,準時上下班,8 hr,1,0,工作項目很實務面，以...,整體來說非常紮實，工...
產品專員,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.06.09,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,0,工作自由度大，但受亞...,"穩定中求成長
公司屬..."
工程師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.05.30,全職,桃園,,,,,,,平常心,偶爾加班,8 hr,9,0,沒什麼福利，底薪高但...,會做的多做是應該，擺...
工程師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.05.06,全職,桃園,,,,,,,還算愉快,常常加班,9 hr,1,0,基本上就是產線的安排...,若是對加班有興趣的可...
工程師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.04.14,全職,桃園,,,,,,,平常心,準時上下班,8 hr,5,0,還可以，穩定上下班，...,大企業，很常需要跟外...
暑期實習生,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2020.03.22,全職,桃園,,,,,,,非常開心,準時上下班,8 hr,1,0,研究公司部門之工作內...,建議未來想要踏入汽車...
供應鏈管理,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2019.10.14,全職,桃園,,,,,,,平常心,準時上下班,8 hr,2,0,很閒 公司工作氣氛不...,加油 小心不要被說話...
技術員,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2019.08.30,全職,桃園,,,,,,,平常心,偶爾加班,8 hr,2,0,中心廠福利佳，能待就...,派遣太多人，現在連契...
STA,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2019.07.04,全職,桃園,,,,,,,有苦說不出,很少加班,8 hr,6,0,常跑供應商，可以學很...,現在如果進來只會一直...
科長,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2019.07.01,全職,桃園,,,,,,,還算愉快,很少加班,8 hr,16,0,上班時間固定，少數工...,公司制度不錯。升遷機...
實習生,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.08.22,全職,桃園,,,,,,,想換工作了,準時上下班,-,1,0,,
SCM,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.08.10,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
Specialist,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.06.04,全職,桃園,,,,,,,還算愉快,賣肝拼經濟,-,3,0,,
工程師,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.02.07,全職,桃園,,,,,,,有苦說不出,常常加班,-,9,0,整體來說尊重員工有自...,
倉庫/科長,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.01.10,全職,桃園,,,,,,,平常心,偶爾加班,-,4,0,,
specialist,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2018.01.03,全職,桃園,,,,,,,平常心,偶爾加班,-,3,0,,
SCM,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2017.12.15,全職,桃園,,,,,,,平常心,很少加班,-,5,0,,
經理,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2017.10.18,全職,中壢,,,,,,,平常心,賣肝拼經濟,-,11,0,,
製造,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2017.06.03,全職,桃園,,,,,,,平常心,常常加班,-,4,0,,
製造,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2017.06.02,全職,桃園,,,,,,,想換工作了,準時上下班,-,5,0,,
PVT Engineer,福特六和汽車股份有限公司（Ford Lio Ho Motor Company）,2016.10.10,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,3,0,這份工作以大學畢業，...,
管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2023.03.01,全職,桃園,37-38k,700-710k,,,,,平常心,很少加班,8 hr,1,3,"主要工作內容是對內生產製造的專案管理，負責蒐集資料以及企劃，有時須對應外包廠商
工作時間每天大概8~9小時，可以報加班費(以1.5倍計算)
蠻常需要做報告，如果是對較高層主管，都是用日文，對內大都也是日文(包含會議)","福利中上的公司，月薪較低，但只要有賺錢，年終都是5個月起跳，加上三節以及年中的分紅，年薪一定18個月以上，三節除了現金外，還有很多禮券。
但這是一間非常高齡化的公司，如果是年輕人進來，確實要想看看自己是否能與很多老人一起工作，每次升遷調整薪水蠻多的，但不好升上去(好一點大概3~5年有機會升一次，最壞的狀況20年才升一次...)，因為日商是前輩優先升遷，並非優秀的人先，簡單來說就是傳產+日商。"
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2023.02.09,全職,桃園,30-31k,360-370k,,,,,非常開心,偶爾加班,10 hr,1,10,"在塗裝部門，主管人很好
可能是我待的單位人都不錯
雖然事傳統產業，但環境乾淨
雖然有空調，但因為要穿潔淨衣服工作，多少還是會流汗😅
只要肯待，福利自然不在話下….要能熬
我是因為有經濟壓力，看單位加班所以才離職！",來這邊工作心態要調整好，因為是純日商公司，所以一切都照日本規則走！
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.10.12,全職,桃園,,,,,,,有苦說不出,常常加班,9 hr,1,1,工作環境 稍為悶熱雖...,工作很累很操 雖然福...
生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.06.29,約聘,桃園,,,,,,,有苦說不出,偶爾加班,9 hr,1,1,"裝配是還好
可是你...",我同梯的幾乎都走光了...
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.06.10,全職,桃園,,,,,,,想換工作了,偶爾加班,8 hr,1,1,工作內容單一無趣，但...,如果真的打算做一輩子...
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.05.22,全職,桃園,,,,,,,還算愉快,偶爾加班,10 hr,1,1,"工作環境還不錯
流...","福利制度都不錯
但..."
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.05.22,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,2,2,主要是鋪設產線，算是...,"公司制度不錯
生產..."
助理工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.04.16,全職,桃園,,,,,,,有苦說不出,偶爾加班,10 hr,2,2,toyota在台生產...,適合聽話順從一版一眼...
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.03.18,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,3,3,穩定的工作及薪水，基...,如有應徵的同學，非常...
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.02.15,全職,桃園,,,,,,,平常心,賣肝拼經濟,10 hr,1,1,負責自動化設備導入，...,基本上是一個向下走的...
系統工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.02.10,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,11,11,很重視報告，主管希望...,先將日文考到N4或多...
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.28,全職,桃園,,,,,,,還算愉快,偶爾加班,9 hr,13,13,就做做trouble...,畢竟是日本公司語文還...
副管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.20,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,10 hr,3,3,人才斷層嚴重，系統繁...,1.建議起薪可以調整...
正職技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2022.01.01,全職,桃園,,,,,,,平常心,常常加班,10 hr,3,3,工作環境為一般工廠，...,有心想進來的朋友，建...
生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.12.13,全職,桃園,,,,,,,想換工作了,常常加班,10 hr,10,10,四到五分鐘內的工作內...,"想要輕鬆的工作內容
..."
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.12.07,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,3,標準日商文化結合台商...,來這邊需要有強大心理...
職員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.11.15,實習,桃園,,,,,,,還算愉快,準時上下班,8 hr,1,1,工作內容大致上就只有...,這份工作不會讓你有太...
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.10.29,全職,桃園,,,,,,,有苦說不出,偶爾加班,10 hr,6,6,"日商環境工作拘謹
...",進來要有學日文的興趣...
生產技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.10.01,全職,桃園,,,,,,,想換工作了,常常加班,9 hr,1,1,福利已不如以往，工作...,公司開始錄用外勞，砍...
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.08.05,全職,桃園,,,,,,,還算愉快,偶爾加班,9 hr,5,6,工作內容：透過TPS...,考量汽車產業未來趨勢...
生管工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.07.16,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,3,3,是台灣和泰汽車與日本...,"適合喜歡穩定生活
..."
職員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.07.01,全職,桃園,,,,,,,平常心,常常加班,9 hr,2,3,是一家日系企業主要是...,日系企業、有派系、年...
工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2021.06.26,全職,桃園,,,,,,,還算愉快,偶爾加班,10 hr,11,11,薪水穩定收入比上不足...,"一切都是運氣

..."
客服專員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.06.22,約聘,新北,,,,,,,還算愉快,很少加班,8 hr,1,1,工作內容不外乎就是倒...,我認為有經驗的不要來...
技能員,TOYOTA 製造商_國瑞汽車股份有限公司,2021.01.11,全職,桃園,,,,,,,想換工作了,賣肝拼經濟,10 hr,7,0,賣肝常態賣自身時間換...,適合磨練但不要忘記自...
企約工,TOYOTA 製造商_國瑞汽車股份有限公司,2021.01.01,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,1,0,"工作就生產車子
福利...",多做，多寫改善提案。...
工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.30,全職,桃園,,,,,,,平常心,偶爾加班,10 hr,15,0,"工作內容看長官分配,...",撐過去就是你的！！剛...
建教生,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.14,全職,桃園,,,,,,,平常心,偶爾加班,8 hr,1,0,因當時是建教生 其實...,如果想要近來長久待在...
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.11.04,全職,桃園,,,,,,,還算愉快,偶爾加班,8 hr,2,0,工作不算輕鬆，時間過...,要學好保護自己，不然...
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.10.14,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,3,0,重複工作 沒有壓力 ...,考上正式員工 可以做...
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.10.07,全職,桃園,,,,,,,有苦說不出,很少加班,8 hr,2,0,只要你拼到正式社員基...,工作人員表示有苦難做...
助理管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.25,全職,桃園,,,,,,,有苦說不出,偶爾加班,9 hr,2,0,福利年年遞減，但最少...,目前國產車相較進口車...
副工程,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.19,全職,桃園,,,,,,,平常心,常常加班,10 hr,10,0,製程跟現場互動多，事...,製程有分前端(生產技...
設備工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.08.03,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,9 hr,2,0,工作內容算多元，但有...,專業技能不專精，尚未...
工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2020.07.22,全職,桃園,,,,,,,平常心,常常加班,10 hr,1,0,汽車的中心廠，要規劃...,公司很多老人，年輕人...
設備維修,TOYOTA 製造商_國瑞汽車股份有限公司,2020.06.15,全職,桃園,,,,,,,還算愉快,常常加班,10 hr,1,0,機台保養維修故障排除...,基本上假日大都要加班...
理貨員,TOYOTA 製造商_國瑞汽車股份有限公司,2020.03.12,全職,桃園,,,,,,,有苦說不出,很少加班,8 hr,1,0,快速的工作速度，兩個...,真的認為自己超耐操就...
物流管理,TOYOTA 製造商_國瑞汽車股份有限公司,2020.02.18,全職,桃園,,,,,,,想換工作了,常常加班,9 hr,5,0,工作項目就是物流的投...,如果只是想賺錢的話沒...
管理師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.11.29,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,12,0,要習慣日本式的決策，...,如果要快速升遷，個人...
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2019.11.15,全職,桃園,,,,,,,平常心,常常加班,8 hr,1,0,工作滿愉快，因為我說...,因為日商關係，有前輩...
裝配,TOYOTA 製造商_國瑞汽車股份有限公司,2019.09.26,全職,桃園,,,,,,,有苦說不出,常常加班,8 hr,2,0,因為還是契約，要很耐...,轉正職不容易，同工不...
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2019.08.24,全職,桃園,,,,,,,想換工作了,偶爾加班,9 hr,5,0,工作內容需非常耐操 ...,裝配不是人幹的 正職...
採購工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.08.02,全職,桃園,,,,,,,有苦說不出,常常加班,9 hr,4,0,政治力太強，常態加班...,這家公司幾乎都是內推...
生技工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.07.13,全職,桃園,,,,,,,還算愉快,很少加班,9 hr,10,0,接近日商，福利待遇佳...,語文能力要加強，日商...
設備維修工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.04.13,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,10 hr,7,0,"設備維修工作不難
但...","想爆肝的可以參考
待..."
工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2019.02.14,全職,桃園,,,,,,,平常心,常常加班,2 hr,8,0,"標準日系公司,有去日...",基本上是跟著指導者邊...
裝配,TOYOTA 製造商_國瑞汽車股份有限公司,2019.01.07,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
CLW,TOYOTA 製造商_國瑞汽車股份有限公司,2018.12.07,全職,桃園,,,,,,,有苦說不出,常常加班,-,1,0,,
生產技術,TOYOTA 製造商_國瑞汽車股份有限公司,2018.09.30,全職,桃園,,,,,,,想換工作了,偶爾加班,-,2,0,,
裝配/健教生,TOYOTA 製造商_國瑞汽車股份有限公司,2018.09.08,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.08.31,全職,桃園,,,,,,,有苦說不出,準時上下班,-,6,0,,
品保,TOYOTA 製造商_國瑞汽車股份有限公司,2018.07.12,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,1,0,公司福利不錯 適合想...,
製程,TOYOTA 製造商_國瑞汽車股份有限公司,2018.06.25,全職,觀音,,,,,,,想換工作了,偶爾加班,-,1,0,,
操作人員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.06.17,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,-,1,0,待遇薪水讓我平時賺少...,
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2018.06.04,全職,桃園,,,,,,,有苦說不出,常常加班,-,1,0,,
品管,TOYOTA 製造商_國瑞汽車股份有限公司,2018.05.15,全職,桃園,,,,,,,平常心,偶爾加班,-,5,0,,
期間社員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.05.11,全職,桃園,,,,,,,有苦說不出,很少加班,-,2,0,,
物流,TOYOTA 製造商_國瑞汽車股份有限公司,2018.05.09,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,1,0,,
生技/助理工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2018.05.05,全職,桃園,,,,,,,平常心,常常加班,-,1,0,,
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.01.17,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,10,0,,
物流/作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2018.01.06,全職,桃園,,,,,,,想換工作了,常常加班,-,3,0,,
採購工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2017.11.02,全職,桃園,,,,,,,有苦說不出,常常加班,-,4,0,,
生產管理工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2017.11.02,全職,桃園,,,,,,,有苦說不出,常常加班,-,6,0,,
沖壓,TOYOTA 製造商_國瑞汽車股份有限公司,2017.10.05,全職,桃園,,,,,,,想換工作了,偶爾加班,-,2,0,,
塗裝課,TOYOTA 製造商_國瑞汽車股份有限公司,2017.04.14,全職,桃園,,,,,,,想換工作了,偶爾加班,-,1,0,不錯的工作。但要升正...,
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2017.03.19,全職,桃園,,,,,,,還算愉快,常常加班,-,3,0,,
製造部,TOYOTA 製造商_國瑞汽車股份有限公司,2017.02.24,全職,桃園,,,,,,,想換工作了,常常加班,-,12,0,薪水待遇好...,
品保,TOYOTA 製造商_國瑞汽車股份有限公司,2017.02.07,全職,桃園,,,,,,,有苦說不出,偶爾加班,-,4,0,,
作業員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.12.05,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
期間社員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.10.07,全職,桃園,,,,,,,有苦說不出,常常加班,-,1,0,取消正職考試制度...,
製程工程師,TOYOTA 製造商_國瑞汽車股份有限公司,2016.08.09,全職,桃園,,,,,,,有苦說不出,賣肝拼經濟,-,1,0,,
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.05.17,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.04.10,全職,桃園,,,,,,,想換工作了,偶爾加班,-,1,0,,
技術員,TOYOTA 製造商_國瑞汽車股份有限公司,2016.01.31,全職,桃園,,,,,,,平常心,偶爾加班,-,1,0,,
技術員,台灣本田汽車股份有限公司,2023.02.24,全職,屏東,,,,,,,平常心,很少加班,8 hr,3,15,"生產線工作
裡面得...",建議手腳慢的人不要來...
專員,台灣本田汽車股份有限公司,2022.05.30,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,1,1,彈性上下班，辦公室算...,我建議想要來試試經驗...
職員,台灣本田汽車股份有限公司,2022.01.24,派遣,桃園,,,,,,,還算愉快,很少加班,7 hr,4,7,每日訂單整理並按照訂...,工作很累，但同僚不錯...
專員(總公司，非門市),台灣本田汽車股份有限公司,2021.11.30,全職,屏東,,,,,,,還算愉快,偶爾加班,8 hr,2,6,1.新鮮人最佳練功地...,老鳥很願意帶人，主管...
PM,台灣本田汽車股份有限公司,2021.07.06,全職,臺北,,,,,,,還算愉快,偶爾加班,8 hr,4,4,"汽車導入及產品策略
...",如果很喜歡汽車，並且...
企劃,台灣本田汽車股份有限公司,2021.01.01,全職,臺北,,,,,,,還算愉快,很少加班,9 hr,6,0,剛開始進入這間公司要...,最好需要會開車因為常...
專員,台灣本田汽車股份有限公司,2020.12.25,全職,臺北,,,,,,,平常心,偶爾加班,8 hr,1,0,辦公地點交通便利，辦...,對汽車產業有興趣，可...
零件採購人員,台灣本田汽車股份有限公司,2020.09.26,全職,臺北,,,,,,,平常心,偶爾加班,9 hr,1,0,1、零件採購需求預測...,須對汽車零件和汽車相...
作業員,台灣本田汽車股份有限公司,2019.12.30,全職,屏東,,,,,,,有苦說不出,很少加班,8 hr,1,0,每天有固定的生產數量...,進去大部分都是從派遣...
產線技術員,台灣本田汽車股份有限公司,2019.08.17,全職,屏東,,,,,,,平常心,偶爾加班,8 hr,1,0,輪兩班制，是個勞動的...,薪水真的不多，且要撐...
半技師,台灣本田汽車股份有限公司,2019.05.17,全職,臺北,,,,,,,想換工作了,很少加班,8 hr,4,0,剛進去了話，廠長開2...,要進去車界，如果是要...
PDI新車整備,台灣本田汽車股份有限公司,2018.10.24,全職,屏東,,,,,,,平常心,很少加班,-,1,0,,
研修/專員,台灣本田汽車股份有限公司,2018.01.23,全職,臺北,,,,,,,有苦說不出,常常加班,-,1,0,可以當新手村的跳板。...,
組裝課,台灣本田汽車股份有限公司,2018.01.04,全職,屏東,,,,,,,平常心,很少加班,-,3,0,,
採購,台灣本田汽車股份有限公司,2017.12.14,全職,屏東,,,,,,,平常心,偶爾加班,-,13,0,,
組裝部,台灣本田汽車股份有限公司,2017.10.25,全職,屏東,,,,,,,想換工作了,偶爾加班,-,5,0,,
廠長室/特助,成運汽車製造股份有限公司,2018.01.21,全職,屏東,,,,,,,還算愉快,很少加班,-,1,0,很大進步空間...,
職員,華德動能科技股份有限公司,2022.02.25,全職,桃園,,,,,,,還算愉快,很少加班,8 hr,2,4,工作環境是鐵皮工廠，...,那時候剛畢業沒多久，...
工程師,華德動能科技股份有限公司,2021.07.29,全職,桃園,,,,,,,想換工作了,賣肝拼經濟,10 hr,2,10,1.除了壓榨還是壓榨...,凡是靠自己就對了，有...
專員,華德動能科技股份有限公司,2021.06.24,全職,桃園,,,,,,,有苦說不出,準時上下班,8 hr,1,1,負責處理部門的的相關...,公司流動率算滿高的，...
財務,華德動能科技股份有限公司,2020.09.10,全職,臺北,,,,,,,平常心,常常加班,9 hr,3,0,工作在台北辦公室蠻愉...,就不要有太多的想法就...
機構工程師,華德動能科技股份有限公司,2020.09.05,全職,桃園,,,,,,,平常心,偶爾加班,9 hr,1,0,工作環境很傳產 有打...,雖然目前公司虧錢，可...
機構工程師,華德動能科技股份有限公司,2020.06.10,全職,桃園,,,,,,,平常心,常常加班,9 hr,1,0,除了繪圖還是繪圖，工...,很傳統的一間汽車製造...
工程師,華德動能科技股份有限公司,2019.11.24,全職,桃園,,,,,,,想換工作了,常常加班,8 hr,1,0,"寫sop,現場處理東...",想養老就去吧， 工作...
採購,華德動能科技股份有限公司,2019.10.22,全職,桃園,,,,,,,有苦說不出,準時上下班,8 hr,1,0,正常上下班，三節生日...,後由車王電接手，許多...
採購專員,華德動能科技股份有限公司,2018.07.20,全職,桃園,,,,,,,平常心,準時上下班,-,2,0,,
RD,華德動能科技股份有限公司,2017.01.13,全職,桃園,,,,,,,還算愉快,常常加班,-,2,0,,
工程師,鴻華先進科技股份有限公司,2023.05.22,全職,新北,,,,,,,想換工作了,偶爾加班,8 hr,1,1,"薪資福利：
公司福利...",建議多比較，年薪部分...
工程師,鴻華先進科技股份有限公司,2023.04.09,全職,新北,,,,,,,想換工作了,賣肝拼經濟,9 hr,2,2,分析車體結構，對於鈑...,除了分析車體結構外 ...
職員,鴻華先進科技股份有限公司,2023.01.18,全職,臺北,51-52k,710-720k,51k,51k,,,還算愉快,偶爾加班,9 hr,1,1,"主要做整車熱流分析
主要對於汽車設計還是要有一定的概念與理解
並需要對模擬分享軟體有一定的了解
這邊似乎比較常使用Star CCM進行分析
若已往分析是採用Ansys的人需要適應一下","公司狀況目前比較混亂，
未來希望等到新車上市量產後，
公司能夠逐漸穩定下來。
對於底薪的部分希望能夠調高，
由低底薪高績效的給薪機制轉為
高底薪低績效的給薪方式，
即：即便年薪相當，但提高底薪對於員工而言會內心比較踏實"
工程師,鴻華先進科技股份有限公司,2023.01.08,全職,新北,,,,,,,想換工作了,很少加班,12 hr,1,16,負責分析車體公差與零...,想來的這不是科技業，...
品質工程師,鴻華先進科技股份有限公司,2022.11.03,全職,新北,,,,,,,平常心,偶爾加班,9 hr,5,10,大公司有公司流程，同...,建議有工作經驗，有歷...
專員,鴻華先進科技股份有限公司,2022.07.09,全職,新北,,,,,,,想換工作了,很少加班,8 hr,1,1,"剛開始進去的時候, ...",因為這邊給得並不是很...
CAE工程師,鴻華先進科技股份有限公司,2022.05.25,全職,新北,,,,,,,還算愉快,很少加班,8 hr,1,5,CFD模擬，評估結果...,是一家台灣整車研發有...
高級工程師,鴻華先進科技股份有限公司,2022.05.02,全職,新北,,,,,,,還算愉快,很少加班,8 hr,15,15,工作內容跟加班程度各...,建議對車輛有愛好者再...
專員,鴻華先進科技股份有限公司,2022.01.05,全職,新北,,,,,,,平常心,準時上下班,8 hr,14,14,"工作內容
產品企劃...",台灣唯一可以接觸到整...
工程師,鴻華先進科技股份有限公司,2021.06.25,全職,新北,,,,,,,有苦說不出,準時上下班,8 hr,3,7,工作內容上手還算輕鬆...,薪水對新人來說還過得...
暑期工讀,為升電裝工業股份有限公司,2023.02.24,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,1,工作環境是無塵室非常...,工作基本上非常單純，...
作業員,為升電裝工業股份有限公司,2023.02.02,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,1,生產線內必須穿著防塵...,我覺得算是一個很好的...
生產技術員,為升電裝工業股份有限公司,2022.10.03,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,1,6,Gen4產品組裝及裝...,福利制度在彰化縣上算...
演算法工程師,為升電裝工業股份有限公司,2022.08.25,全職,新竹,,,,,,,還算愉快,很少加班,9 hr,3,4,"開發雷達演算法, 用...",是用 matlab ...
設備工程師,為升電裝工業股份有限公司,2022.07.27,全職,彰化,,,,,,,想換工作了,賣肝拼經濟,10 hr,3,8,公司有分兩棟(A跟C...,"我建議是別來
主因..."
資深課長,為升電裝工業股份有限公司,2022.07.21,全職,彰化,,,,,,,平常心,常常加班,10 hr,8,12,產品從開發移轉到工廠...,近兩年新進人員底薪有...
自動化工程師,為升電裝工業股份有限公司,2022.07.20,全職,彰化,,,,,,,有苦說不出,偶爾加班,8 hr,4,5,"工作內容的部分
會...",間接人員調薪困難 會...
設備工程師,為升電裝工業股份有限公司,2022.07.15,全職,彰化,,,,,,,平常心,很少加班,8 hr,3,3,"我不是在電裝大樓的
...",我真心勸有志向的年輕...
製程工程師,為升電裝工業股份有限公司,2022.03.30,全職,彰化,,,,,,,還算愉快,很少加班,9 hr,2,7,基本上自由度算蠻高的...,電子相關的背景在工作...
品保人員,為升電裝工業股份有限公司,2022.03.29,全職,彰化,,,,,,,平常心,偶爾加班,9 hr,1,12,是間很漂亮氣派的公司...,基本的福利在彰化來說...
IE工程師,為升電裝工業股份有限公司,2022.03.13,全職,彰化,,,,,,,還算愉快,很少加班,8 hr,3,3,生產線工時量測、標準...,這邊歸屬於工程部底下...
採購管理師,為升電裝工業股份有限公司,2022.02.18,全職,彰化,,,,,,,還算愉快,偶爾加班,10 hr,3,7,公司薪資算中等，但不...,整體而言，還不錯，因...
國外業務,為升電裝工業股份有限公司,2022.02.18,全職,彰化,,,,,,,還算愉快,偶爾加班,9 hr,1,3,去的部門是一個剛起步...,建議以平常心看待，業...
職員,為升電裝工業股份有限公司,2021.11.08,全職,彰化,,,,,,,有苦說不出,賣肝拼經濟,8 hr,1,1,環境單純冷氣廠房工作...,一個辦公室人數比生產...
工程師,為升電裝工業股份有限公司,2021.11.02,全職,彰化,,,,,,,還算愉快,準時上下班,8 hr,1,5,工作只要會SAP基本...,建議如果有SAP背景...
品保工程師,為升電裝工業股份有限公司,2021.10.18,全職,彰化,,,,,,,還算愉快,很少加班,9 hr,2,2,客訴對應、處理及報告...,制度僵化，各部門工作...
